,electrode,F,p_unc,np2,df1,df2,reject,p_corr
0,EEG F7-O1,2.1289978424247638,0.1638884447880082,0.11743604698559604,1,16,False,0.17278317390227763
1,EEG F8-F7,3.2709053974180247,0.08934950776586345,0.16973283454841054,1,16,False,0.17278317390227763
2,EEG F8-O2,2.715858433134377,0.11884993570583176,0.14511001153579187,1,16,False,0.17278317390227763
3,EEG Fp1-F7,2.217379519375441,0.15591061496515243,0.12171780892071249,1,16,False,0.17278317390227763
4,EEG Fp1-F8,4.409486385037997,0.05195270455945296,0.21605082567244563,1,16,False,0.17278317390227763
5,EEG Fp1-O1,2.1296059311718007,0.1638318524509914,0.11746564924007448,1,16,False,0.17278317390227763
6,EEG Fp1-O2,2.036537298576491,0.17278317390227763,0.11291176709052808,1,16,False,0.17278317390227763
