,Source,SS,DF1,DF2,MS,F,p-unc,np2,eps
0,group,1.0794088538609321e-17,1,16,1.0794088538609321e-17,2.05256528948051,0.17119904738461691,0.11369936940078924,
1,electrode,7.365472808383769e-18,6,96,1.2275788013972948e-18,1.0884751609983339,0.3748857891043938,0.06369644750296981,0.16950374570811702
2,Interaction,1.4171197135889735e-17,6,96,2.361866189314956e-18,2.09423026672085,0.06085743987358364,0.11574022414054197,
