,Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher
0,group,2.0509238430614367,1,16,2.0509238430614367,0.9899302115376738,0.33456933803105793,,0.058265702048936205,,,,
1,electrode,30.366157065347373,6,96,5.0610261775578955,19.555827354893452,8.65772989695866e-15,2.477923171593543e-06,0.5500034399340742,0.33041811564354884,False,0.0003797667618739985,3.2747314851914502e-15
2,Interaction,1.6077519251099943,6,96,0.26795865418499903,1.0353934154159974,0.4073060317982369,,0.060778955329498244,,,,
