,electrode,F,p_unc,np2,df1,df2,reject,p_corr
0,EEG F7-O1,2.093776577904771,0.1672081091438434,0.11571805194398099,1,16,False,0.23409135280138077
1,EEG F8-F7,2.733082699146146,0.11777304989827195,0.14589604621084173,1,16,False,0.23409135280138077
2,EEG F8-O2,1.3322207029788609,0.2653599907606646,0.07686382061531759,1,16,False,0.27957102315100174
3,EEG Fp1-F7,3.3889340875967098,0.08425539494201897,0.17478702399450846,1,16,False,0.23409135280138077
4,EEG Fp1-F8,4.484180670436913,0.05022240357896762,0.21890944737216428,1,16,False,0.23409135280138077
5,EEG Fp1-O1,2.1438432583507474,0.16251373330802588,0.11815816681308898,1,16,False,0.23409135280138077
6,EEG Fp1-O2,1.2526358858661053,0.27957102315100174,0.0726054786151433,1,16,False,0.27957102315100174
