,Source,SS,DF1,DF2,MS,F,p-unc,np2,eps
0,group,2.0798410128052494,1,16,2.0798410128052494,6.003079713924042,0.02616655814152766,0.2728290672021317,
1,electrode_pairs,13.300560623549588,20,320,0.6650280311774794,12.350373828261583,2.6998677584264033e-29,0.43563354413160815,0.1523577296023663
2,Interaction,1.11573777193896,20,320,0.055786888596948005,1.036029906390543,0.41883173148746966,0.060814046000348246,
