,Source,SS,DF1,DF2,MS,F,p-unc,np2,eps
0,group,0.14637630991035722,1,16,0.14637630991035722,1.3285345082792053,0.26599659762339367,0.0766674474200031,
1,electrode_pairs,14.371856200616199,20,320,0.7185928100308099,16.555754099214298,2.610463084668035e-38,0.5085354204593238,0.14170971445837702
2,Interaction,0.460437593387379,20,320,0.02302187966936895,0.5304041084010173,0.9529943141900161,0.032086578460078743,
