,Source,SS,DF1,DF2,MS,F,p-unc,np2,eps
0,group,2.567651901604164e-15,1,16,2.567651901604164e-15,2.1594731168458456,0.16108177279794839,0.11891716807810826,
1,electrode,2.6399549856810573e-15,6,96,4.3999249761350956e-16,1.0586507727857506,0.39286729715578295,0.062059466887888486,0.1666795428395442
2,Interaction,5.278485484401344e-15,6,96,8.797475807335573e-16,2.116730310747414,0.05824083048666723,0.11683842914478355,
