,electrode,F,p_unc,np2,df1,df2,reject,p_corr
0,EEG F7-O1,2.1143587944237243,0.16525818259642278,0.1167228063890731,1,16,False,0.18489040042332278
1,EEG F8-F7,2.037834220002289,0.17265431565459152,0.11297554879080327,1,16,False,0.18489040042332278
2,EEG F8-O2,1.943941628941793,0.1823018681913797,0.10833414804506544,1,16,False,0.18489040042332278
3,EEG Fp1-F7,2.1007456690089383,0.1665446874519419,0.1160585153464542,1,16,False,0.18489040042332278
4,EEG Fp1-F8,3.2793843804146716,0.08897158984800904,0.17009798216099145,1,16,False,0.18489040042332278
5,EEG Fp1-O1,2.1158915434106818,0.1651141037875133,0.11679753868808615,1,16,False,0.18489040042332278
6,EEG Fp1-O2,1.9198034247384135,0.18489040042332278,0.1071330627482281,1,16,False,0.18489040042332278
