,Source,SS,DF1,DF2,MS,F,p-unc,np2,eps
0,group,0.5144137838386885,1,16,0.5144137838386885,1.885477073751931,0.18865152444397082,0.10541944539567177,
1,electrode_pairs,14.971983720114686,20,320,0.7485991860057343,13.726890880097383,2.297296158471667e-32,0.4617667866937188,0.16261677247342954
2,Interaction,0.7670867908502927,20,320,0.03835433954251464,0.7032946916325792,0.8228546530512537,0.04210514779367993,
