,electrode,F,p_unc,np2,df1,df2,reject,p_corr
0,EEG F7-O1,2.1292353786959617,0.16386633537487555,0.11744761068070582,1,16,False,0.17242125050546728
1,EEG F8-F7,3.333226973745789,0.08661555413811498,0.17240924023042078,1,16,False,0.17242125050546728
2,EEG F8-O2,2.3860730554895087,0.141968180585851,0.12977611087959326,1,16,False,0.17242125050546728
3,EEG Fp1-F7,3.107900350837812,0.09699983632377476,0.16265001877621485,1,16,False,0.17242125050546728
4,EEG Fp1-F8,4.500191028605069,0.049860309255568835,0.2195194680052346,1,16,False,0.17242125050546728
5,EEG Fp1-O1,2.1310944898258732,0.16369342051311592,0.11753810510566369,1,16,False,0.17242125050546728
6,EEG Fp1-O2,2.0401830197923014,0.17242125050546728,0.11309103779900512,1,16,False,0.17242125050546728
