,Source,SS,DF1,DF2,MS,F,p-unc,np2,eps
0,group,2.4041456885780388e-14,1,16,2.4041456885780388e-14,2.1954001399793093,0.15784893495350047,0.12065687608350699,
1,electrode,2.322372521252239e-14,6,96,3.870620868753732e-15,1.0520539901562453,0.39692581806060295,0.06169661383687688,0.16670756655040034
2,Interaction,4.633328835932983e-14,6,96,7.722214726554971e-15,2.0989363441662308,0.06030102955213292,0.11597014897744386,
