,electrode,F,p_unc,np2,df1,df2,reject,p_corr
0,EEG F7-O1,0.011849876518395332,0.914669329882116,0.0007400691743789919,1,16,False,0.914669329882116
1,EEG F8-F7,5.31295744957879,0.03490163509741764,0.2492829754926288,1,16,False,0.24431144568192348
2,EEG F8-O2,0.961819503366712,0.3413266254203738,0.05670497219804766,1,16,False,0.5973215944856541
3,EEG Fp1-F7,1.7461126934299331,0.20495140455001193,0.0983940947290608,1,16,False,0.47821994395002787
4,EEG Fp1-F8,2.0101277328263576,0.1754334198364317,0.1116109648218972,1,16,False,0.47821994395002787
5,EEG Fp1-O1,0.01712797158851311,0.8975064952683214,0.0010693534832770912,1,16,False,0.914669329882116
6,EEG Fp1-O2,0.09371345125200774,0.7634556940958324,0.005822984952221658,1,16,False,0.914669329882116
