,electrode,F,p_unc,np2,df1,df2,reject,p_corr
0,EEG F7-O1,6.004008884961489,0.021038305210341772,0.1819175635871695,1,27,False,0.14726813647239242
1,EEG F8-F7,4.0859122770783716e-05,0.9949468616815854,1.5132985532863826e-06,1,27,False,0.9949468616815854
2,EEG F8-O2,1.3774444932365868,0.2507863056569503,0.04854011761224249,1,27,False,0.8431098801393543
3,EEG Fp1-F7,0.37865091795773975,0.5434784718747754,0.013830152518924206,1,27,False,0.8456474350937213
4,EEG Fp1-F8,0.15444841413881336,0.6974058940961609,0.005687775784773259,1,27,False,0.8456474350937213
5,EEG Fp1-O1,0.8622668845238158,0.36133280577400895,0.030947477751810806,1,27,False,0.8431098801393543
6,EEG Fp1-O2,0.12651161374901534,0.7248406586517611,0.00466376272594126,1,27,False,0.8456474350937213
