,Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher
0,group,0.7509121743605959,1,27,0.7509121743605959,0.27496366896323254,0.6043001343427474,,0.010081174526957103,,,,
1,electrode,9.358306330854932,6,162,1.5597177218091554,3.488153038882035,0.0028584212591891193,0.019868280074459534,0.11441011314898403,0.5040940172126787,False,0.0019852160798525986,1.2130226084198137e-23
2,Interaction,3.516066053284618,6,162,0.5860110088807696,1.310555142679783,0.2552499267083881,,0.046292103283557526,,,,
