,electrode,p-val,U-val,reject,p_corr
0,EEG F7-O1,0.01014694118142394,14.0,False,0.07102858826996758
1,EEG F8-F7,0.26062060544819166,39.0,False,0.3648688476274683
2,EEG F8-O2,0.08020714917266641,27.0,False,0.18715001473622164
3,EEG Fp1-F7,0.5121889604648225,50.0,False,0.5121889604648225
4,EEG Fp1-F8,0.4636015325670498,48.0,False,0.5121889604648225
5,EEG Fp1-O1,0.06218685529030357,25.0,False,0.18715001473622164
6,EEG Fp1-O2,0.17047703254599805,34.0,False,0.29833480695549663
