,Source,SS,DF1,DF2,MS,F,p-unc,np2,eps
0,group,8.721613054576615e-16,1,27,8.721613054576615e-16,0.17269802102689497,0.6810093196391218,0.006355571349346945,
1,electrode,3.5015926050799874e-15,6,162,5.835987675133312e-16,0.9276360764504782,0.4767034008088732,0.033215703395415276,0.167373167836986
2,Interaction,5.61721552863067e-16,6,162,9.362025881051117e-17,0.1488103375017444,0.989076927549475,0.005481283918219676,
