,electrode,F,p_unc,np2,df1,df2,reject,p_corr
0,EEG F7-O1,0.10680640075828372,0.7463298134553236,0.0039402059829259685,1,27,False,0.7463298134553236
1,EEG F8-F7,0.20954728002913783,0.6507851223373955,0.007701240960482214,1,27,False,0.7463298134553236
2,EEG F8-O2,0.2625807324211134,0.6125193548881387,0.009631543506402095,1,27,False,0.7463298134553236
3,EEG Fp1-F7,0.15657611094992663,0.6954380046420794,0.005765679381311728,1,27,False,0.7463298134553236
4,EEG Fp1-F8,0.17451257337821166,0.679435661294955,0.006421921015399359,1,27,False,0.7463298134553236
5,EEG Fp1-O1,0.16076767450113158,0.6916062323860306,0.005919113790442024,1,27,False,0.7463298134553236
6,EEG Fp1-O2,0.15974007487045508,0.692540194329611,0.005881502342441581,1,27,False,0.7463298134553236
