,electrode,F,p_unc,np2,df1,df2,reject,p_corr
0,EEG F7-O1,0.21454030727084233,0.6469437528675243,0.007883297121631855,1,27,False,0.6932373946547004
1,EEG F8-F7,0.1744022837679447,0.6795310330926212,0.006417888494722117,1,27,False,0.6932373946547004
2,EEG F8-O2,0.3259909286873989,0.5727514114732126,0.011929702001956196,1,27,False,0.6932373946547004
3,EEG Fp1-F7,0.1589754747373644,0.6932373946547004,0.005853515162427228,1,27,False,0.6932373946547004
4,EEG Fp1-F8,0.20232516982549342,0.6564411045469666,0.007437789547855455,1,27,False,0.6932373946547004
5,EEG Fp1-O1,0.187134286326103,0.6687482618510809,0.0068831927762325095,1,27,False,0.6932373946547004
6,EEG Fp1-O2,0.2083003757134225,0.6517530948630426,0.00765576580811916,1,27,False,0.6932373946547004
