,electrode,F,p_unc,np2,df1,df2,reject,p_corr
0,EEG F7-O1,0.16890098226168684,0.6843340611727957,0.006216702779842315,1,27,False,0.6931666646942911
1,EEG F8-F7,0.1873698701149382,0.668552917820384,0.006891798324371936,1,27,False,0.6931666646942911
2,EEG F8-O2,0.3035330308660749,0.5862063920413252,0.0111169873335783,1,27,False,0.6931666646942911
3,EEG Fp1-F7,0.15905294499047617,0.6931666646942911,0.005856350930668726,1,27,False,0.6931666646942911
4,EEG Fp1-F8,0.18834172831518428,0.6677486067571867,0.0069272973761042795,1,27,False,0.6931666646942911
5,EEG Fp1-O1,0.1818111288568805,0.6732018061789189,0.006688705472751422,1,27,False,0.6931666646942911
6,EEG Fp1-O2,0.17000140118180365,0.6833660359060543,0.006256952241982924,1,27,False,0.6931666646942911
