,electrode,F,p_unc,np2,df1,df2,reject,p_corr
0,EEG F7-O1,0.3189512569990837,0.5764375709465916,0.010519864433815283,1,30,False,0.6046713253582351
1,EEG F8-F7,0.3393386460469155,0.5645642460883288,0.01118477399938742,1,30,False,0.6046713253582351
2,EEG F8-O2,0.4670952470197895,0.4995714554787327,0.015331138174896392,1,30,False,0.6046713253582351
3,EEG Fp1-F7,0.2737490826423804,0.6046713253582351,0.009042457275281307,1,30,False,0.6046713253582351
4,EEG Fp1-F8,0.30367795309042295,0.5856669211002892,0.010021158275259895,1,30,False,0.6046713253582351
5,EEG Fp1-O1,0.2831097602074271,0.5985889579176858,0.00934876776028592,1,30,False,0.6046713253582351
6,EEG Fp1-O2,0.28035406866952794,0.6003659447871477,0.009258612631600788,1,30,False,0.6046713253582351
