,Source,SS,DF1,DF2,MS,F,p-unc,np2,eps
0,group,0.06059914043262043,1,30,0.06059914043262043,0.2208155375353854,0.6418172408686261,0.0073067365525303005,
1,electrode_pairs,16.764612802249996,20,600,0.8382306401124998,12.014187921092654,1.1388057957656576e-32,0.2859554954068526,0.14761616795706753
2,Interaction,1.007963202548197,20,600,0.05039816012740985,0.7223464971010329,0.8048731061692724,0.023512087436719512,
