,Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher
0,group,1.112425770040043,1,30,1.112425770040043,0.38403641504798885,0.5401295315756911,,0.012639413993651979,,,,
1,electrode,7.380558637714336,6,180,1.2300931062857228,2.3928830820187317,0.03002524687558957,0.07647315570017398,0.07387064238647591,0.43856961689432794,False,0.0006453642269443888,1.4135978430592253e-33
2,Interaction,0.573038397306135,6,180,0.09550639955102251,0.18578727621702443,0.9804909308657869,,0.006154793132177264,,,,
