,electrode,F,p_unc,np2,df1,df2,reject,p_corr
0,EEG F7-O1,0.37251380605101364,0.5462334157904755,0.012264832882446465,1,30,False,0.944136424968346
1,EEG F8-F7,0.16448082636438097,0.6879421902653589,0.005452798187085698,1,30,False,0.944136424968346
2,EEG F8-O2,0.34629458123247453,0.5606229735805888,0.01141142884201219,1,30,False,0.944136424968346
3,EEG Fp1-F7,0.059302220243600996,0.8092597928300108,0.0019728408799743725,1,30,False,0.944136424968346
4,EEG Fp1-F8,0.7700247034282388,0.38718299864159034,0.0250251571407561,1,30,False,0.944136424968346
5,EEG Fp1-O1,0.18629950023633468,0.6691007132007967,0.006171657451251224,1,30,False,0.944136424968346
6,EEG Fp1-O2,0.004140926965347505,0.9491183981382387,0.00013801184894535564,1,30,False,0.9491183981382387
