,electrode,F,p_unc,np2,df1,df2,reject,p_corr
0,EEG F7-O1,0.31579800954171316,0.5783187279319707,0.01041694529836614,1,30,False,0.6021247434043494
1,EEG F8-F7,0.33365464442423903,0.5678254331576698,0.010999487148363428,1,30,False,0.6021247434043494
2,EEG F8-O2,0.5641449673121836,0.4584466536219669,0.018457737584857248,1,30,False,0.6021247434043494
3,EEG Fp1-F7,0.27764363908281137,0.6021247434043494,0.009169922283001739,1,30,False,0.6021247434043494
4,EEG Fp1-F8,0.32899796596439906,0.5705250742579564,0.01084763717988985,1,30,False,0.6021247434043494
5,EEG Fp1-O1,0.31918571780319943,0.5762981899301207,0.010527516166628972,1,30,False,0.6021247434043494
6,EEG Fp1-O2,0.29815978873620286,0.5890763509396006,0.009840854719072683,1,30,False,0.6021247434043494
