,Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher
0,group,0.03570899234469308,1,30,0.03570899234469308,0.1483256373493614,0.7028577360884336,,0.004919863183566243,,,,
1,electrode_pairs,16.03682162713834,20,600,0.801841081356917,11.606017356389525,1.7086985632425e-31,2.6216719353827446e-07,0.2789504522140273,0.17745172407445514,False,2.656237553607976e-07,6.323307434034188e-10
2,Interaction,1.728821517126093,20,600,0.08644107585630464,1.2511664094280706,0.20602304063264396,,0.040035830760243564,,,,
