,Source,SS,DF1,DF2,MS,F,p-unc,np2,eps
0,group,1.7177013314502017e-15,1,30,1.7177013314502017e-15,0.34074425733693897,0.5637634535233244,0.011230583351775918,
1,electrode,3.539247468400694e-15,6,180,5.898745780667823e-16,0.9366682854190679,0.4700300124154507,0.030276960556238512,0.16923101348697553
2,Interaction,9.795489369781532e-16,6,180,1.6325815616302555e-16,0.259239409358962,0.95499837221827,0.008567281082378466,
