,electrode,p-val,U-val,reject,p_corr
0,EEG F7-O1,0.13048300343211355,62.0,False,0.35187298565357517
1,EEG F8-F7,0.4292928752745216,83.0,False,0.4292928752745216
2,EEG F8-O2,0.22350777929893612,70.0,False,0.35187298565357517
3,EEG Fp1-F7,0.14044777910879133,63.0,False,0.35187298565357517
4,EEG Fp1-F8,0.18509437123869826,67.0,False,0.35187298565357517
5,EEG Fp1-O1,0.25133784689541083,72.0,False,0.35187298565357517
6,EEG Fp1-O2,0.39460244288525714,81.0,False,0.4292928752745216
