,electrode,F,p_unc,np2,df1,df2,reject,p_corr
0,EEG F7-O1,0.383099748455795,0.540620930245838,0.012608975108777893,1,30,False,0.6015448040540083
1,EEG F8-F7,0.3084281999922626,0.5827643186698499,0.010176317886136417,1,30,False,0.6015448040540083
2,EEG F8-O2,0.5771482792544025,0.4533611925409695,0.01887515061847605,1,30,False,0.6015448040540083
3,EEG Fp1-F7,0.27853549555478624,0.6015448040540083,0.009199107255226336,1,30,False,0.6015448040540083
4,EEG Fp1-F8,0.35475238137870774,0.555902297669812,0.011686881082789941,1,30,False,0.6015448040540083
5,EEG Fp1-O1,0.32877189483548935,0.5706567844291843,0.010840264023070253,1,30,False,0.6015448040540083
6,EEG Fp1-O2,0.3653511407032078,0.5500937178421357,0.012031843103354506,1,30,False,0.6015448040540083
