,electrode,F,p_unc,np2,df1,df2,reject,p_corr
0,EEG F7-O1,0.35008801594513156,0.5584961171040989,0.01153499178523649,1,30,False,0.6043718648236387
1,EEG F8-F7,0.30016033528288727,0.5878355716625725,0.009906229272766154,1,30,False,0.6043718648236387
2,EEG F8-O2,0.5904819060312124,0.44823999261150094,0.019302798427467505,1,30,False,0.6043718648236387
3,EEG Fp1-F7,0.2742052272923537,0.6043718648236387,0.009057388137316194,1,30,False,0.6043718648236387
4,EEG Fp1-F8,0.3024394569899488,0.5864285832332476,0.00998069668348712,1,30,False,0.6043718648236387
5,EEG Fp1-O1,0.296530336697103,0.5900909907484158,0.009787600540446258,1,30,False,0.6043718648236387
6,EEG Fp1-O2,0.28570177465399865,0.596927668550524,0.009433553060114378,1,30,False,0.6043718648236387
