,Source,SS,DF1,DF2,MS,F,p-unc,np2,eps
0,group,9.639000906547679e-14,1,30,9.639000906547679e-14,0.39701837599845763,0.5334034401923309,0.013061096028811304,
1,electrode,1.6504759539947277e-13,6,180,2.7507932566578795e-14,0.8938212661490892,0.5006380908834447,0.028932039790379217,0.1744278589903842
2,Interaction,4.588390063851359e-14,6,180,7.647316773085599e-15,0.2484859356194306,0.9594147620642116,0.008214822260800276,
