,Source,SS,DF1,DF2,MS,F,p-unc,np2,eps
0,group,1.3764419666710975e-15,1,30,1.3764419666710975e-15,0.3028347517519969,0.5861852594955953,0.009993611298510221,
1,electrode,3.179548666125026e-15,6,180,5.299247776875043e-16,0.9359112166694376,0.47056134373696834,0.03025322933320074,0.16737218205733714
2,Interaction,8.837670618570972e-16,6,180,1.472945103095162e-16,0.26013991071351816,0.9546182243592486,0.00859678479614089,
